BranchID,Year,Month,DepositTarget
BR0001,2023,1,26732048
BR0001,2023,2,15123316
BR0001,2023,3,31496156
BR0001,2023,4,48683473
BR0001,2023,5,8240447
BR0001,2023,6,9861116
BR0001,2023,7,40962432
BR0001,2023,8,11316960
BR0001,2023,9,29540967
BR0001,2023,10,44110241
BR0001,2023,11,8892241
BR0001,2023,12,39053435
BR0001,2024,1,19408151
BR0001,2024,2,7516291
BR0001,2024,3,10767821
BR0001,2024,4,34101469
BR0001,2024,5,33063058
BR0001,2024,6,9687918
BR0001,2024,7,21150620
BR0001,2024,8,11087647
BR0001,2024,9,41980155
BR0001,2024,10,33489000
BR0001,2024,11,8966838
BR0001,2024,12,42946955
BR0001,2025,1,13308208
BR0001,2025,2,19981313
BR0001,2025,3,47320588
BR0001,2025,4,47106330
BR0001,2025,5,44124259
BR0001,2025,6,9151491
BR0001,2025,7,43728723
BR0001,2025,8,44295019
BR0001,2025,9,31620776
BR0001,2025,10,8327882
BR0001,2025,11,19836550
BR0001,2025,12,8126110
BR0002,2023,1,42357148
BR0002,2023,2,13937210
BR0002,2023,3,24435350
BR0002,2023,4,33127945
BR0002,2023,5,14680794
BR0002,2023,6,41284815
BR0002,2023,7,12904903
BR0002,2023,8,43313369
BR0002,2023,9,25701864
BR0002,2023,10,42598229
BR0002,2023,11,17128342
BR0002,2023,12,11915951
BR0002,2024,1,44030526
BR0002,2024,2,43332877
BR0002,2024,3,47876757
BR0002,2024,4,17607811
BR0002,2024,5,29991176
BR0002,2024,6,11538455
BR0002,2024,7,41758508
BR0002,2024,8,9213696
BR0002,2024,9,42874115
BR0002,2024,10,8999766
BR0002,2024,11,46541030
BR0002,2024,12,18821655
BR0002,2025,1,38313812
BR0002,2025,2,40683141
BR0002,2025,3,33695233
BR0002,2025,4,26082059
BR0002,2025,5,36246012
BR0002,2025,6,44296391
BR0002,2025,7,35412688
BR0002,2025,8,29265381
BR0002,2025,9,25117022
BR0002,2025,10,21671625
BR0002,2025,11,17063942
BR0002,2025,12,21381039
BR0003,2023,1,10493196
BR0003,2023,2,43548922
BR0003,2023,3,25149377
BR0003,2023,4,40245340
BR0003,2023,5,38226696
BR0003,2023,6,28050263
BR0003,2023,7,35120752
BR0003,2023,8,24323176
BR0003,2023,9,45866547
BR0003,2023,10,9912427
BR0003,2023,11,12923260
BR0003,2023,12,39355230
BR0003,2024,1,33059747
BR0003,2024,2,16070419
BR0003,2024,3,27954976
BR0003,2024,4,15199509
BR0003,2024,5,37813758
BR0003,2024,6,33299697
BR0003,2024,7,7631154
BR0003,2024,8,49843207
BR0003,2024,9,10209022
BR0003,2024,10,42451829
BR0003,2024,11,43455119
BR0003,2024,12,26055239
BR0003,2025,1,27825225
BR0003,2025,2,28500073
BR0003,2025,3,44887487
BR0003,2025,4,38331281
BR0003,2025,5,43916108
BR0003,2025,6,35615421
BR0003,2025,7,9614603
BR0003,2025,8,11281120
BR0003,2025,9,23115318
BR0003,2025,10,36816200
BR0003,2025,11,49570500
BR0003,2025,12,9362074
BR0004,2023,1,9071456
BR0004,2023,2,25777399
BR0004,2023,3,48428082
BR0004,2023,4,43785314
BR0004,2023,5,34906445
BR0004,2023,6,24098882
BR0004,2023,7,30890025
BR0004,2023,8,49872524
BR0004,2023,9,28287128
BR0004,2023,10,6514172
BR0004,2023,11,35983846
BR0004,2023,12,28854792
BR0004,2024,1,16277535
BR0004,2024,2,45998116
BR0004,2024,3,12858165
BR0004,2024,4,38131176
BR0004,2024,5,8956364
BR0004,2024,6,19643675
BR0004,2024,7,24289230
BR0004,2024,8,13679875
BR0004,2024,9,21617150
BR0004,2024,10,31702461
BR0004,2024,11,31236190
BR0004,2024,12,38320000
BR0004,2025,1,10407719
BR0004,2025,2,16164652
BR0004,2025,3,35144456
BR0004,2025,4,31953889
BR0004,2025,5,41872288
BR0004,2025,6,23645468
BR0004,2025,7,14188957
BR0004,2025,8,33891818
BR0004,2025,9,41924609
BR0004,2025,10,23684521
BR0004,2025,11,32870077
BR0004,2025,12,29076725
BR0005,2023,1,30530983
BR0005,2023,2,20485471
BR0005,2023,3,15128130
BR0005,2023,4,10569008
BR0005,2023,5,16825771
BR0005,2023,6,15153462
BR0005,2023,7,20566361
BR0005,2023,8,49192306
BR0005,2023,9,20658919
BR0005,2023,10,5809538
BR0005,2023,11,37545297
BR0005,2023,12,44535409
BR0005,2024,1,17236823
BR0005,2024,2,22632627
BR0005,2024,3,23920050
BR0005,2024,4,5274717
BR0005,2024,5,14776177
BR0005,2024,6,33115023
BR0005,2024,7,40875792
BR0005,2024,8,29780187
BR0005,2024,9,45923819
BR0005,2024,10,43006516
BR0005,2024,11,26381667
BR0005,2024,12,13421592
BR0005,2025,1,39594044
BR0005,2025,2,46445947
BR0005,2025,3,48954055
BR0005,2025,4,8623401
BR0005,2025,5,35644841
BR0005,2025,6,42532091
BR0005,2025,7,31332102
BR0005,2025,8,31714000
BR0005,2025,9,31775016
BR0005,2025,10,31448946
BR0005,2025,11,11948256
BR0005,2025,12,37314449
BR0006,2023,1,47566452
BR0006,2023,2,31873250
BR0006,2023,3,9177380
BR0006,2023,4,17791589
BR0006,2023,5,9519621
BR0006,2023,6,19009860
BR0006,2023,7,34569968
BR0006,2023,8,15891982
BR0006,2023,9,12377163
BR0006,2023,10,27820614
BR0006,2023,11,45314124
BR0006,2023,12,8528289
BR0006,2024,1,11870578
BR0006,2024,2,5015655
BR0006,2024,3,43036204
BR0006,2024,4,15151217
BR0006,2024,5,41011870
BR0006,2024,6,11809158
BR0006,2024,7,29401448
BR0006,2024,8,46187210
BR0006,2024,9,6711335
BR0006,2024,10,9718798
BR0006,2024,11,18955468
BR0006,2024,12,46209472
BR0006,2025,1,30248325
BR0006,2025,2,14969054
BR0006,2025,3,47574506
BR0006,2025,4,21928731
BR0006,2025,5,28312917
BR0006,2025,6,45418272
BR0006,2025,7,29438594
BR0006,2025,8,36819766
BR0006,2025,9,13243802
BR0006,2025,10,12741243
BR0006,2025,11,37753692
BR0006,2025,12,36272023
BR0007,2023,1,37238769
BR0007,2023,2,37469594
BR0007,2023,3,25928054
BR0007,2023,4,10763622
BR0007,2023,5,14671561
BR0007,2023,6,11857694
BR0007,2023,7,27993901
BR0007,2023,8,22767534
BR0007,2023,9,37119774
BR0007,2023,10,15833961
BR0007,2023,11,39650623
BR0007,2023,12,6549927
BR0007,2024,1,18771745
BR0007,2024,2,40450753
BR0007,2024,3,29276796
BR0007,2024,4,14838329
BR0007,2024,5,41451684
BR0007,2024,6,6814790
BR0007,2024,7,40440824
BR0007,2024,8,25004460
BR0007,2024,9,48145434
BR0007,2024,10,11107614
BR0007,2024,11,22523144
BR0007,2024,12,39789024
BR0007,2025,1,29608806
BR0007,2025,2,16210001
BR0007,2025,3,28870365
BR0007,2025,4,19951368
BR0007,2025,5,40741670
BR0007,2025,6,41343954
BR0007,2025,7,38735426
BR0007,2025,8,27123443
BR0007,2025,9,47710894
BR0007,2025,10,19968073
BR0007,2025,11,46153049
BR0007,2025,12,18096028
BR0008,2023,1,21065034
BR0008,2023,2,31889472
BR0008,2023,3,20216229
BR0008,2023,4,18416268
BR0008,2023,5,39738146
BR0008,2023,6,38070029
BR0008,2023,7,28861398
BR0008,2023,8,6944824
BR0008,2023,9,6874825
BR0008,2023,10,23751460
BR0008,2023,11,36691494
BR0008,2023,12,22392897
BR0008,2024,1,17995292
BR0008,2024,2,45610192
BR0008,2024,3,28104301
BR0008,2024,4,35012941
BR0008,2024,5,28455867
BR0008,2024,6,29470300
BR0008,2024,7,10404822
BR0008,2024,8,19794976
BR0008,2024,9,11855650
BR0008,2024,10,20223365
BR0008,2024,11,36546533
BR0008,2024,12,18200727
BR0008,2025,1,27665178
BR0008,2025,2,18715264
BR0008,2025,3,37390314
BR0008,2025,4,46880386
BR0008,2025,5,45953999
BR0008,2025,6,5128064
BR0008,2025,7,37176916
BR0008,2025,8,48820614
BR0008,2025,9,28085912
BR0008,2025,10,48159931
BR0008,2025,11,10689387
BR0008,2025,12,49331152
BR0009,2023,1,13046596
BR0009,2023,2,31074192
BR0009,2023,3,18376098
BR0009,2023,4,37080234
BR0009,2023,5,16980389
BR0009,2023,6,34120218
BR0009,2023,7,47670649
BR0009,2023,8,27314851
BR0009,2023,9,10821684
BR0009,2023,10,31564271
BR0009,2023,11,36082177
BR0009,2023,12,31936613
BR0009,2024,1,10698834
BR0009,2024,2,15660649
BR0009,2024,3,16408752
BR0009,2024,4,13525400
BR0009,2024,5,6848772
BR0009,2024,6,15143551
BR0009,2024,7,44648742
BR0009,2024,8,36229370
BR0009,2024,9,49013898
BR0009,2024,10,14809591
BR0009,2024,11,46041991
BR0009,2024,12,44988175
BR0009,2025,1,36833554
BR0009,2025,2,49108528
BR0009,2025,3,28515450
BR0009,2025,4,15463105
BR0009,2025,5,41819952
BR0009,2025,6,41794821
BR0009,2025,7,13790177
BR0009,2025,8,6435906
BR0009,2025,9,5955827
BR0009,2025,10,48598929
BR0009,2025,11,11896915
BR0009,2025,12,40338255
BR0010,2023,1,14344958
BR0010,2023,2,34112458
BR0010,2023,3,18073171
BR0010,2023,4,19162811
BR0010,2023,5,6878627
BR0010,2023,6,21900348
BR0010,2023,7,19279410
BR0010,2023,8,24660659
BR0010,2023,9,38632407
BR0010,2023,10,21142325
BR0010,2023,11,44355132
BR0010,2023,12,26876772
BR0010,2024,1,22405676
BR0010,2024,2,41530895
BR0010,2024,3,33119456
BR0010,2024,4,13796205
BR0010,2024,5,9087233
BR0010,2024,6,28742043
BR0010,2024,7,35746663
BR0010,2024,8,49457933
BR0010,2024,9,44147873
BR0010,2024,10,39679232
BR0010,2024,11,33227885
BR0010,2024,12,38665090
BR0010,2025,1,13775373
BR0010,2025,2,40690169
BR0010,2025,3,15189567
BR0010,2025,4,40131932
BR0010,2025,5,39262230
BR0010,2025,6,6255262
BR0010,2025,7,34536282
BR0010,2025,8,17288162
BR0010,2025,9,45839410
BR0010,2025,10,5263904
BR0010,2025,11,15053074
BR0010,2025,12,16565992
BR0011,2023,1,14499861
BR0011,2023,2,36775572
BR0011,2023,3,46547180
BR0011,2023,4,13075653
BR0011,2023,5,42344447
BR0011,2023,6,9144327
BR0011,2023,7,26876291
BR0011,2023,8,39785793
BR0011,2023,9,40616442
BR0011,2023,10,42275073
BR0011,2023,11,37379155
BR0011,2023,12,12120882
BR0011,2024,1,42600837
BR0011,2024,2,8813298
BR0011,2024,3,21676171
BR0011,2024,4,17838337
BR0011,2024,5,23583590
BR0011,2024,6,7831919
BR0011,2024,7,11559574
BR0011,2024,8,39072109
BR0011,2024,9,35345012
BR0011,2024,10,42697021
BR0011,2024,11,6870039
BR0011,2024,12,9252610
BR0011,2025,1,34745896
BR0011,2025,2,26851561
BR0011,2025,3,46106050
BR0011,2025,4,38927096
BR0011,2025,5,45677211
BR0011,2025,6,39370574
BR0011,2025,7,18381722
BR0011,2025,8,23601606
BR0011,2025,9,35356412
BR0011,2025,10,39101782
BR0011,2025,11,40788179
BR0011,2025,12,37080474
BR0012,2023,1,39074650
BR0012,2023,2,21619899
BR0012,2023,3,40112005
BR0012,2023,4,22420943
BR0012,2023,5,42548335
BR0012,2023,6,18595485
BR0012,2023,7,35033110
