RepaymentID,DateKey,AccountID,BranchID,ProductCode,EMIAmount,OutstandingBalance
REP0000001,20240324,ACC0088659,BR0460,HL001,5342,617907
REP0000002,20251124,ACC0080173,BR0112,PL001,42276,2042687
REP0000003,20250913,ACC0076681,BR0178,PL001,49506,760409
REP0000004,20251014,ACC0034707,BR0376,BL001,36489,4711348
REP0000005,20230405,ACC0070811,BR0434,VL001,27962,121772
REP0000006,20230617,ACC0091983,BR0485,HL001,12649,2557260
REP0000007,20230519,ACC0045879,BR0500,EL001,29968,977773
REP0000008,20230908,ACC0053630,BR0020,PL001,37766,2432648
REP0000009,20230502,ACC0009478,BR0026,HL001,23711,1465578
REP0000010,20240504,ACC0022544,BR0047,EL001,37292,1155154
REP0000011,20231029,ACC0089089,BR0025,HL001,37825,1480257
REP0000012,20230225,ACC0086670,BR0118,PL001,6644,1730218
REP0000013,20240720,ACC0011147,BR0374,PL001,42046,2214237
REP0000014,20241117,ACC0084184,BR0390,PL001,49391,2233430
REP0000015,20230901,ACC0017503,BR0109,EL001,28079,4670688
REP0000016,20230614,ACC0053855,BR0481,VL001,48496,2613147
REP0000017,20240204,ACC0043332,BR0480,PL001,26435,1421715
REP0000018,20230928,ACC0021429,BR0464,EL001,43951,4668537
REP0000019,20250218,ACC0066740,BR0231,EL001,23864,2705270
REP0000020,20250103,ACC0027383,BR0443,BL001,20879,3245465
REP0000021,20250905,ACC0004295,BR0373,HL001,24858,111098
REP0000022,20250102,ACC0078636,BR0107,PL001,8877,3286949
REP0000023,20241120,ACC0055993,BR0237,PL001,27455,2682690
REP0000024,20230425,ACC0048670,BR0480,VL001,45450,2716766
REP0000025,20240317,ACC0005568,BR0034,HL001,44776,188092
REP0000026,20240717,ACC0090865,BR0332,BL001,31712,3189790
REP0000027,20241122,ACC0048686,BR0324,HL001,14976,3643648
REP0000028,20250303,ACC0019129,BR0496,HL001,35569,3086291
REP0000029,20230117,ACC0077367,BR0449,BL001,34254,4262123
REP0000030,20240905,ACC0088679,BR0389,EL001,37918,3299407
REP0000031,20240627,ACC0062040,BR0064,PL001,39169,740722
REP0000032,20240316,ACC0098044,BR0380,VL001,35123,4052946
REP0000033,20240428,ACC0096973,BR0187,BL001,41556,2004213
REP0000034,20240710,ACC0014989,BR0029,BL001,16436,3846455
REP0000035,20250120,ACC0000069,BR0401,EL001,47693,1148630
REP0000036,20240309,ACC0008076,BR0066,VL001,26724,4784382
REP0000037,20240817,ACC0068907,BR0055,EL001,14630,3593834
REP0000038,20230525,ACC0008237,BR0435,HL001,41543,2013458
REP0000039,20250411,ACC0079660,BR0149,EL001,10154,2471407
REP0000040,20250715,ACC0085382,BR0188,HL001,40776,2817376
REP0000041,20240206,ACC0044075,BR0056,HL001,28063,3356620
REP0000042,20240902,ACC0010777,BR0114,EL001,19960,2351673
REP0000043,20230918,ACC0002327,BR0181,PL001,26099,2438512
REP0000044,20230607,ACC0032569,BR0170,VL001,42922,1967532
REP0000045,20230429,ACC0002109,BR0211,HL001,3088,1361233
